Var2	value	sum	genome
535	4X77500	outsider	3	4
536	4X77629	outsider	14	4
537	4X77708	outsider	8	4
538	4X77730	outsider	18	4
539	4X77733	outsider	34	4
540	4X77756	outsider	3	4
541	4X77983	outsider	4	4
542	4X77984	outsider	23	4
543	4X78123	outsider	35	4
544	4X78129	outsider	7	4
545	4X78332	outsider	14	4
546	4X78365	outsider	14	4
547	4X78388	outsider	3	4
548	4X78424	outsider	7	4
549	4X78558	outsider	35	4
550	4X78843	outsider	28	4
551	4X79030	outsider	8	4
552	4X79032	outsider	8	4
553	4X79244	outsider	10	4
554	4X79281	outsider	9	4
555	4X79479	outsider	30	4
556	4X79652	outsider	29	4
557	4X79702	outsider	8	4
558	4X79743	outsider	4	4
559	4X79764	outsider	3	4
560	4X79772	outsider	18	4
561	4X80056	outsider	14	4
562	4X80173	outsider	9	4
563	4X80183	outsider	32	4
564	4X80192	outsider	7	4
565	4X80303	outsider	27	4
566	4X80469	outsider	32	4
567	4X80473	outsider	21	4
568	4X80603	outsider	31	4
569	4X80607	outsider	29	4
570	4X80643	outsider	7	4
571	4X80648	outsider	4	4
572	4X80754	outsider	10	4
573	4X80755	outsider	19	4
574	4X80756	outsider	6	4
575	4X80851	outsider	12	4
576	4X80947	outsider	9	4
577	4X81021	outsider	9	4
578	4X81114	outsider	9	4
579	5X81338	outsider	5	5
580	5X81346	outsider	7	5
581	5X81379	outsider	3	5
582	5X81516	outsider	5	5
583	5X81938	outsider	5	5
584	5X82638	outsider	4	5
585	5X82640	outsider	6	5
586	5X82671	outsider	7	5
587	5X82732	outsider	3	5
588	5X82903	outsider	6	5
589	5X83657	outsider	6	5
590	5X84126	outsider	9	5
591	5X84183	outsider	3	5
592	5X84243	outsider	3	5
593	5X84562	outsider	3	5
594	5X84572	outsider	3	5
595	5X84702	outsider	4	5
596	5X84737	outsider	3	5
597	5X85205	outsider	5	5
598	5X85826	outsider	3	5
599	5X86422	outsider	6	5
600	5X86583	outsider	5	5
601	5X86918	outsider	4	5
602	5X87577	outsider	7	5
603	5X87675	outsider	5	5
604	5X87752	outsider	3	5
605	5X87916	outsider	6	5
606	5X88043	outsider	4	5
607	5X88233	outsider	4	5
608	5X88281	outsider	4	5
609	5X88318	outsider	4	5
610	5X88667	outsider	4	5
611	5X89107	outsider	3	5
612	5X89275	outsider	3	5
613	5X89283	outsider	3	5
614	5X89596	outsider	8	5
615	5X89603	outsider	6	5
616	5X90202	outsider	5	5
617	5X90334	outsider	5	5
618	5X90401	outsider	4	5
619	5X91164	outsider	10	5
620	5X91577	outsider	7	5
621	5X91928	outsider	6	5
622	5X91957	outsider	8	5
623	5X92174	outsider	6	5
624	5X92342	outsider	4	5
625	5X92749	outsider	5	5
626	5X92908	outsider	5	5
627	5X93349	outsider	4	5
628	5X93919	outsider	6	5
629	5X94205	outsider	3	5
630	5X94529	outsider	5	5
631	5X94613	outsider	5	5
632	5X94888	outsider	6	5
633	5X95426	outsider	11	5
634	5X95468	outsider	7	5
635	5X95600	outsider	5	5
636	5X95669	outsider	9	5
637	5X96522	outsider	4	5
638	5X96545	outsider	4	5
639	5X96959	outsider	5	5
640	5X96970	outsider	6	5
641	5X96980	outsider	4	5
642	5X96997	outsider	5	5
643	5X97361	outsider	3	5
644	5X97821	outsider	5	5
645	5X97940	outsider	8	5
646	5X98105	outsider	4	5
647	5X98112	outsider	5	5
648	5X98114	outsider	6	5
649	5X98117	outsider	3	5
650	5X98157	outsider	5	5
651	5X98396	outsider	10	5
652	5X98655	outsider	4	5
653	5X98871	outsider	5	5
654	5X98974	outsider	5	5
655	5X99159	outsider	4	5
656	5X99415	outsider	11	5
657	5X99609	outsider	4	5
658	5X99698	outsider	3	5
659	5X99721	outsider	5	5
660	5X99738	outsider	5	5
661	5X99849	outsider	4	5
662	5X100899	outsider	8	5
663	5X100961	outsider	4	5
664	5X101014	outsider	4	5
665	5X101133	outsider	4	5
666	5X101411	outsider	5	5
667	5X101722	outsider	6	5
668	5X101737	outsider	10	5
669	5X101740	outsider	4	5
670	5X101770	outsider	3	5
671	5X102903	outsider	6	5
672	5X103072	outsider	4	5
673	5X103534	outsider	9	5
674	5X103625	outsider	9	5
675	5X103651	outsider	3	5
676	5X104282	outsider	4	5
677	5X104323	outsider	11	5
678	5X104625	outsider	5	5
679	5X105319	outsider	3	5
680	5X105354	outsider	3	5
681	5X106202	outsider	5	5
682	5X106266	outsider	3	5
683	5X106531	outsider	7	5
684	5X106903	outsider	7	5
685	5X108741	outsider	4	5
686	5X109148	outsider	6	5
687	5X109151	outsider	8	5
688	5X109471	outsider	10	5
689	5X109819	outsider	7	5
690	5X110301	outsider	3	5
691	5X110324	outsider	3	5
692	5X110512	outsider	3	5
693	5X111000	outsider	3	5
694	5X111040	outsider	5	5
695	5X111312	outsider	6	5
696	5X111320	outsider	5	5
697	5X111875	outsider	8	5
698	5X112179	outsider	3	5
699	5X113432	outsider	5	5
700	5X113527	outsider	5	5
701	5X113708	outsider	4	5
702	5X113868	outsider	4	5
703	5X114037	outsider	6	5
704	5X114429	outsider	6	5
705	5X114563	outsider	4	5
706	5X114682	outsider	3	5
707	5X114722	outsider	11	5
708	5X115300	outsider	6	5
709	5X115411	outsider	8	5
710	5X115416	outsider	6	5
711	5X115626	outsider	8	5
712	5X115631	outsider	8	5
713	5X115635	outsider	4	5
714	5X115898	outsider	5	5
715	5X116024	outsider	6	5
716	5X116211	outsider	3	5
717	5X116304	outsider	4	5
718	5X116442	outsider	4	5
719	5X116702	outsider	6	5
720	5X117354	outsider	6	5
721	5X117379	outsider	3	5
722	5X117694	outsider	3	5
723	5X118261	outsider	3	5
724	5X118848	outsider	4	5
725	5X119022	outsider	3	5
726	5X119094	outsider	4	5
727	5X119141	outsider	4	5
728	5X119467	outsider	3	5
729	5X119672	outsider	5	5
730	5X119745	outsider	3	5
731	5X120145	outsider	3	5
732	5X120272	outsider	5	5
733	5X120282	outsider	4	5
734	5X120285	outsider	5	5
735	5X120295	outsider	5	5
736	5X120300	outsider	6	5
737	5X120373	outsider	5	5
738	5X120741	outsider	5	5
739	5X121089	outsider	8	5
740	5X121183	outsider	5	5
741	5X121300	outsider	4	5
742	5X121507	outsider	6	5
743	5X121571	outsider	3	5
744	5X121693	outsider	5	5
745	5X121857	outsider	7	5
746	5X121877	outsider	8	5
747	5X121904	outsider	4	5
748	5X122511	outsider	3	5
749	5X122653	outsider	5	5
750	5X122795	outsider	4	5
751	5X123638	outsider	4	5
752	5X124406	outsider	6	5
753	5X124477	outsider	4	5
754	5X124507	outsider	8	5
755	5X124560	outsider	5	5
756	5X124596	outsider	6	5
757	5X125578	outsider	3	5
758	5X126166	outsider	3	5
759	5X126320	outsider	4	5
760	5X126479	outsider	3	5
761	5X126530	outsider	3	5
762	5X126649	outsider	6	5
763	5X126793	outsider	3	5
764	5X126939	outsider	3	5
765	5X127168	outsider	6	5
766	5X128388	outsider	5	5
767	5X128581	outsider	7	5
768	5X128683	outsider	13	5
769	5X128688	outsider	7	5
770	5X128693	outsider	8	5
771	5X128699	outsider	5	5
772	5X128857	outsider	8	5
773	5X128987	outsider	3	5
774	5X129021	outsider	3	5
775	5X129348	outsider	8	5
776	5X129477	outsider	5	5
777	5X129677	outsider	7	5
778	5X129683	outsider	8	5
779	5X129894	outsider	3	5
780	5X130275	outsider	5	5
781	5X130279	outsider	9	5
782	5X131016	outsider	9	5
783	5X131069	outsider	3	5
784	5X131662	outsider	5	5
785	5X131990	outsider	3	5
786	5X132089	outsider	5	5
787	5X132264	outsider	3	5
788	5X132680	outsider	3	5
789	5X132844	outsider	4	5
790	5X132883	outsider	5	5
791	5X132893	outsider	8	5
792	5X132894	outsider	3	5
793	5X133333	outsider	7	5
794	5X133818	outsider	6	5
795	5X133819	outsider	5	5
796	5X134340	outsider	6	5
797	5X134796	outsider	4	5
798	5X134844	outsider	4	5
799	5X134968	outsider	6	5
800	5X135478	outsider	5	5
801	5X135503	outsider	3	5
802	5X135517	outsider	6	5
803	5X135533	outsider	4	5
804	5X136319	outsider	4	5
805	5X138315	outsider	5	5
806	5X138427	outsider	3	5
807	5X138822	outsider	6	5
808	5X138923	outsider	6	5
809	6X144710	outsider	12	6
810	6X146989	outsider	4	6
811	6X147588	outsider	3	6
812	6X151608	outsider	3	6
813	6X153080	outsider	5	6
814	6X153593	outsider	9	6
815	6X154129	outsider	5	6
816	6X156070	outsider	5	6
817	6X156081	outsider	3	6
818	6X156621	outsider	4	6
819	6X156668	outsider	3	6
820	6X156852	outsider	5	6
821	6X158073	outsider	7	6
822	6X158432	outsider	4	6
823	6X158559	outsider	5	6
824	6X158560	outsider	5	6
825	6X159605	outsider	6	6
826	6X159610	outsider	3	6
827	6X159714	outsider	9	6
828	6X159715	outsider	8	6
829	6X162899	outsider	5	6
830	6X165226	outsider	3	6
831	6X165910	outsider	3	6
832	6X167122	outsider	4	6
833	6X167728	outsider	4	6
834	6X169741	outsider	17	6
835	6X170753	outsider	6	6
836	6X171145	outsider	3	6
837	6X171407	outsider	3	6
838	6X171412	outsider	11	6
839	6X176088	outsider	4	6
840	6X176113	outsider	12	6
841	6X176346	outsider	3	6
842	6X177331	outsider	7	6
843	6X178279	outsider	4	6
844	6X179931	outsider	7	6
845	6X181219	outsider	16	6
846	6X181362	outsider	6	6
847	6X181369	outsider	10	6
848	6X182719	outsider	9	6
849	6X182923	outsider	7	6
850	6X183519	outsider	18	6
851	6X185729	outsider	4	6
852	6X186143	outsider	7	6
853	6X186149	outsider	7	6
854	6X186160	outsider	7	6
855	6X188992	outsider	3	6
856	6X189156	outsider	4	6
857	6X191589	outsider	4	6
858	6X192297	outsider	3	6
859	6X193846	outsider	3	6
860	6X194529	outsider	5	6
861	6X195219	outsider	5	6
862	6X195353	outsider	11	6
863	6X197400	outsider	4	6
864	6X198344	outsider	6	6
865	6X198587	outsider	5	6
866	6X199851	outsider	4	6
867	6X200199	outsider	4	6
868	6X200500	outsider	3	6
869	6X200659	outsider	11	6
870	6X200852	outsider	7	6
871	6X201992	outsider	5	6
872	6X202243	outsider	6	6
873	6X202376	outsider	17	6
874	6X203190	outsider	4	6
875	6X203194	outsider	7	6
876	6X205261	outsider	17	6
877	6X206039	outsider	6	6
878	6X206163	outsider	3	6
879	6X206165	outsider	3	6
880	6X206892	outsider	15	6
881	6X208054	outsider	8	6
882	6X208197	outsider	13	6
883	6X208771	outsider	6	6
884	6X208964	outsider	3	6
885	6X209027	outsider	16	6
886	6X212186	outsider	7	6
887	6X212320	outsider	8	6
888	6X212345	outsider	7	6
889	6X212443	outsider	8	6
890	6X213920	outsider	18	6
891	6X215570	outsider	6	6
892	6X215572	outsider	4	6
893	6X216137	outsider	5	6
894	6X216374	outsider	5	6
895	6X216380	outsider	3	6
896	6X216382	outsider	6	6
897	6X216386	outsider	6	6
898	6X216447	outsider	7	6
899	6X217109	outsider	5	6
900	6X218943	outsider	7	6
901	6X219048	outsider	9	6
902	6X220227	outsider	14	6
903	6X221030	outsider	3	6
904	6X221050	outsider	5	6
905	6X222278	outsider	4	6
906	6X222291	outsider	3	6
907	6X222316	outsider	9	6
908	6X222324	outsider	4	6
909	6X223060	outsider	14	6
910	6X223563	outsider	4	6
911	6X223791	outsider	9	6
912	6X223797	outsider	3	6
913	6X224032	outsider	7	6
914	6X224184	outsider	3	6
915	6X225349	outsider	7	6
916	6X226542	outsider	4	6
917	6X228011	outsider	4	6
918	6X228198	outsider	4	6
919	6X228889	outsider	4	6
920	6X228953	outsider	5	6
921	6X228959	outsider	9	6
922	6X228964	outsider	6	6
923	6X229245	outsider	7	6
924	6X229281	outsider	8	6
925	6X229549	outsider	7	6
926	6X229737	outsider	6	6
927	6X229745	outsider	4	6
928	6X229792	outsider	5	6
929	6X229945	outsider	6	6
930	6X230259	outsider	6	6
931	6X230280	outsider	5	6
932	6X230282	outsider	4	6
